lat,lon,TYPE
49.28283123,-123.1235832,Break and Enter Commercia
49.28477932,-123.1289699,Break and Enter Commercia
49.28477932,-123.1289699,Break and Enter Commercia
49.28565288,-123.1275838,Break and Enter Commercia
49.2858124,-123.1271326,Break and Enter Commercia
49.2858124,-123.1271326,Break and Enter Commercia
49.27799558,-123.1153862,Break and Enter Commercia
49.27799558,-123.1153862,Break and Enter Commercia
49.27799558,-123.1153862,Break and Enter Commercia
49.27816143,-123.1276633,Break and Enter Commercia
49.28078908,-123.120603,Break and Enter Commercia
49.28078908,-123.120603,Break and Enter Commercia
49.27790518,-123.117244,Break and Enter Commercia
49.27896254,-123.1257174,Break and Enter Commercia
49.27855583,-123.1181818,Break and Enter Commercia
49.28192266,-123.1334442,Theft of Vehicle
49.27914618,-123.1174655,Break and Enter Commercia
49.27914618,-123.1174655,Break and Enter Commercia
49.27914618,-123.1174655,Break and Enter Commercia
49.28155886,-123.121462,Break and Enter Commercia
49.28155886,-123.121462,Break and Enter Commercia
49.28367648,-123.1320799,Theft of Vehicle
49.28041834,-123.1248943,Break and Enter Commercia
49.2885068,-123.1312653,Break and Enter Commercia
49.2885068,-123.1312653,Break and Enter Commercia
49.27593668,-123.1307331,Break and Enter Commercia
49.28497294,-123.1391463,Theft of Vehicle
49.28174727,-123.1333526,Theft of Vehicle
49.2803814,-123.1193981,Break and Enter Commercia
49.28157304,-123.1352934,Theft of Vehicle
49.28544519,-123.1413358,Theft of Vehicle
49.28544519,-123.1413358,Theft of Vehicle
49.28498589,-123.1295534,Theft of Vehicle
49.28619571,-123.1152879,Break and Enter Commercia
49.28602106,-123.1150205,Break and Enter Commercia
49.28584248,-123.1166571,Break and Enter Commercia
49.28538618,-123.1159273,Break and Enter Commercia
49.28422854,-123.1296119,Break and Enter Commercia
49.27638809,-123.1175676,Break and Enter Commercia
49.28141235,-123.1295901,Theft of Vehicle
49.27686019,-123.1226991,Theft of Vehicle
49.27848426,-123.134684,Theft of Vehicle
49.28650399,-123.1221405,Theft of Vehicle
49.27812001,-123.1246407,Theft of Vehicle
49.28079734,-123.1317476,Theft of Vehicle
49.2812099,-123.1325442,Theft of Vehicle
49.28034806,-123.1334139,Theft of Vehicle
49.27785607,-123.1356136,Theft of Vehicle
49.27794143,-123.1135147,Break and Enter Residenti
49.27835345,-123.1128868,Break and Enter Residenti
49.28417353,-123.1284779,Theft of Vehicle
49.27851913,-123.1220466,Theft of Vehicle
49.2783999,-123.1224014,Theft of Vehicle
49.27790106,-123.1211156,Theft of Vehicle
49.28736626,-123.127914,Break and Enter Residenti
49.2876761,-123.1276334,Break and Enter Residenti
49.27726621,-123.120128,Theft of Vehicle
49.27800469,-123.1317651,Theft of Vehicle
49.28313648,-123.1248314,Theft of Vehicle
49.28146764,-123.1285069,Theft of Vehicle
49.28099949,-123.1264087,Theft of Vehicle
49.28099949,-123.1264087,Theft of Vehicle
49.28099949,-123.1264087,Theft of Vehicle
49.28535594,-123.1338937,Theft of Vehicle
49.27657179,-123.1343583,Theft of Vehicle
49.27657179,-123.1343583,Theft of Vehicle
49.27683255,-123.134768,Theft of Vehicle
49.28191881,-123.1251125,Theft of Vehicle
49.28288428,-123.1263591,Theft of Vehicle
49.27744709,-123.1170916,Other Theft
49.27821178,-123.115056,Other Theft
49.27821178,-123.115056,Other Theft
49.27832864,-123.1150592,Other Theft
49.27843191,-123.1154015,Other Theft
49.27843191,-123.1154015,Other Theft
49.28959879,-123.1273103,Other Theft
49.28959879,-123.1273103,Other Theft
49.27769244,-123.1142222,Theft from Vehicle
