lat,lon,TYPE,YEAR,MONTH,DAY,HOUR,date,elev
49.28376865,-123.1142984,Break and Enter Commercia,2012,6,3,1,2012-06-03,0
49.27929508,-123.1197735,Break and Enter Commercia,2012,9,10,17,2012-09-10,0
49.27929508,-123.1197735,Break and Enter Commercia,2012,11,30,5,2012-11-30,0
49.27929508,-123.1197735,Break and Enter Commercia,2012,12,10,3,2012-12-10,0
49.28708,-123.1211441,Break and Enter Commercia,2012,1,20,9,2012-01-20,0
49.28395079,-123.1367738,Theft of Vehicle,2012,9,14,16,2012-09-14,0
49.28527007,-123.1345631,Theft of Vehicle,2012,2,17,19,2012-02-17,0
49.28127298,-123.1161945,Break and Enter Commercia,2012,4,8,6,2012-04-08,0
49.28127298,-123.1161945,Break and Enter Commercia,2012,5,21,0,2012-05-21,0
49.28318901,-123.1376223,Theft of Vehicle,2012,6,1,9,2012-06-01,0
49.29232469,-123.1342807,Break and Enter Commercia,2012,4,1,20,2012-04-01,0
49.29234083,-123.1342553,Break and Enter Commercia,2012,4,1,20,2012-04-01,0
49.28276098,-123.1176182,Break and Enter Commercia,2012,4,17,21,2012-04-17,0
49.28280344,-123.117554,Break and Enter Commercia,2012,1,15,6,2012-01-15,0
49.28378576,-123.1182244,Break and Enter Commercia,2012,8,28,0,2012-08-28,0
49.28378576,-123.1182244,Break and Enter Commercia,2012,10,28,23,2012-10-28,0
49.28378576,-123.1182244,Break and Enter Commercia,2012,11,16,11,2012-11-16,0
49.28378576,-123.1182244,Break and Enter Commercia,2012,12,23,14,2012-12-23,0
49.28139432,-123.1371552,Theft of Vehicle,2012,3,3,20,2012-03-03,0
49.28631422,-123.1296856,Theft of Vehicle,2012,12,11,19,2012-12-11,0
49.28226359,-123.116392,Break and Enter Commercia,2012,12,31,5,2012-12-31,0
49.28260303,-123.1158817,Break and Enter Commercia,2012,5,29,5,2012-05-29,0
49.28585778,-123.1230138,Break and Enter Commercia,2012,8,14,2,2012-08-14,0
49.28212844,-123.1176907,Break and Enter Commercia,2012,4,10,16,2012-04-10,0
49.28468064,-123.1129674,Break and Enter Commercia,2012,6,12,19,2012-06-12,0
49.28417404,-123.1139869,Break and Enter Commercia,2012,2,14,5,2012-02-14,0
49.28417404,-123.1139869,Break and Enter Commercia,2012,6,15,5,2012-06-15,0
49.28417404,-123.1139869,Break and Enter Commercia,2012,6,27,4,2012-06-27,0
49.27780095,-123.1135513,Break and Enter Commercia,2012,1,18,3,2012-01-18,0
49.29067212,-123.1336539,Break and Enter Commercia,2012,10,9,4,2012-10-09,0
49.28859034,-123.1289592,Break and Enter Commercia,2012,12,26,3,2012-12-26,0
49.28360259,-123.1223953,Break and Enter Commercia,2012,4,27,16,2012-04-27,0
49.28622284,-123.1265405,Break and Enter Commercia,2012,2,16,0,2012-02-16,0
49.28100827,-123.1344646,Theft of Vehicle,2012,3,15,21,2012-03-15,0
49.2915254,-123.1353182,Break and Enter Commercia,2012,11,13,3,2012-11-13,0
49.2777826,-123.1310857,Theft of Vehicle,2012,6,4,3,2012-06-04,0
49.28269706,-123.1368489,Theft of Vehicle,2012,1,21,21,2012-01-21,0
49.28273925,-123.1376621,Theft of Vehicle,2012,12,18,17,2012-12-18,0
49.28156965,-123.1394167,Theft of Vehicle,2012,1,6,22,2012-01-06,0
